Patente,Hora,T_viaje,T_viaje_str,Velocidad
OKM498,2019-10-03T07:57:33,230,0:03:50,23.478260869565215
HPX553,2019-10-03T07:57:43,247,0:04:07,21.86234817813765
PMX101,2019-10-03T07:57:44,149,0:02:29,36.241610738255034
MKP743,2019-10-03T07:59:26,198,0:03:18,27.272727272727273
OSB033,2019-10-03T07:59:31,220,0:03:40,24.545454545454547
KDC236,2019-10-03T07:59:42,249,0:04:09,21.68674698795181
LOV037,2019-10-03T08:00:56,208,0:03:28,25.961538461538463
MNS893,2019-10-03T08:01:14,230,0:03:50,23.478260869565215
AB312QL,2019-10-03T08:01:45,251,0:04:11,21.513944223107572
AD259AX,2019-10-03T08:01:54,161,0:02:41,33.54037267080746
AC406WJ,2019-10-03T08:02:51,205,0:03:25,26.34146341463415
PFG198,2019-10-03T08:02:57,229,0:03:49,23.580786026200872
HNZ696,2019-10-03T08:03:20,205,0:03:25,26.34146341463415
KMS487,2019-10-03T08:03:55,167,0:02:47,32.33532934131737
LVW153,2019-10-03T08:05:29,231,0:03:51,23.376623376623378
LDA638,2019-10-03T08:05:54,153,0:02:33,35.294117647058826
AA734FQ,2019-10-03T08:06:53,209,0:03:29,25.83732057416268
MUZ213,2019-10-03T08:07:15,220,0:03:40,24.545454545454547
JAY725,2019-10-03T08:07:21,223,0:03:43,24.2152466367713
AB147HV,2019-10-03T08:07:31,229,0:03:49,23.580786026200872
AA151TI,2019-10-03T08:07:40,201,0:03:21,26.865671641791046
OCW726,2019-10-03T08:07:48,229,0:03:49,23.580786026200872
AD400HG,2019-10-03T08:07:52,243,0:04:03,22.22222222222222
MMR056,2019-10-03T08:09:20,214,0:03:34,25.233644859813083
AB563HU,2019-10-03T08:09:42,235,0:03:55,22.97872340425532
AA549RX,2019-10-03T08:09:55,239,0:03:59,22.594142259414227
AD454QP,2019-10-03T08:10:57,217,0:03:37,24.88479262672811
NFR063,2019-10-03T08:11:27,220,0:03:40,24.545454545454547
AB568VB,2019-10-03T08:11:51,239,0:03:59,22.594142259414227
JIM608,2019-10-03T08:12:56,205,0:03:25,26.34146341463415
CBG468,2019-10-03T08:12:58,223,0:03:43,24.2152466367713
PPO726,2019-10-03T08:13:31,248,0:04:08,21.7741935483871
LGH284,2019-10-03T08:15:04,217,0:03:37,24.88479262672811
AA841VH,2019-10-03T08:15:41,245,0:04:05,22.04081632653061
FVF052,2019-10-03T08:15:46,254,0:04:14,21.25984251968504
AD868WA,2019-10-03T08:15:48,239,0:03:59,22.594142259414227
AA633OE,2019-10-03T08:16:52,212,0:03:32,25.471698113207548
JOZ673,2019-10-03T08:16:57,312,0:05:12,17.307692307692307
OYS009,2019-10-03T08:17:02,310,0:05:10,17.41935483870968
AA325GF,2019-10-03T08:17:12,239,0:03:59,22.594142259414227
GYJ524,2019-10-03T08:17:16,237,0:03:57,22.78481012658228
AB045XB,2019-10-03T08:17:18,202,0:03:22,26.732673267326735
KOM072,2019-10-03T08:17:21,225,0:03:45,24.0
HOL408,2019-10-03T08:17:34,213,0:03:33,25.35211267605634
DLO183,2019-10-03T08:18:55,217,0:03:37,24.88479262672811
AC040GD,2019-10-03T08:19:44,203,0:03:23,26.60098522167488
ITB477,2019-10-03T08:19:55,144,0:02:24,37.5
FJB452,2019-10-03T08:20:54,228,0:03:48,23.684210526315788
AA649AQ,2019-10-03T08:21:01,199,0:03:19,27.1356783919598
AA806VF,2019-10-03T08:21:36,219,0:03:39,24.65753424657534
AC253BF,2019-10-03T08:21:47,163,0:02:43,33.128834355828225
AA008PB,2019-10-03T08:22:58,219,0:03:39,24.65753424657534
OZP153,2019-10-03T08:23:06,212,0:03:32,25.471698113207548
AB880GG,2019-10-03T08:23:09,212,0:03:32,25.471698113207548
AD794WE,2019-10-03T08:23:20,199,0:03:19,27.1356783919598
AC439KL,2019-10-03T08:23:29,215,0:03:35,25.116279069767444
OMN150,2019-10-03T08:23:53,166,0:02:46,32.53012048192771
AC328AB,2019-10-03T08:23:55,165,0:02:45,32.727272727272734
AB146KN,2019-10-03T08:24:53,210,0:03:30,25.714285714285715
HJS786,2019-10-03T08:24:59,206,0:03:26,26.21359223300971
AD135LU,2019-10-03T08:25:03,189,0:03:09,28.571428571428573
